INSERT into tentor (id_tentor, alamat_tentor, nama_tentor, tanggal_t) VALUES
('826708','mawar','nanda','2011-01-01'),
('524093','flamboyan','lia','2021-03-07'),
('647319','sakura','sari','2010-02-28'),
('874158','melati','wawan','2013-03-08'),
('705496','bougenville','sari','2025-07-04'),
('058268','anggrek','joko','2025-01-02'),
('189101','mawar','gita','2013-09-11'),
('289475','teratai','wawan','2013-07-02'),
('290942','anggrek','gita','2018-12-27'),
('709557','cempaka','nanda','2012-08-29'),
('588115','melati','lia','2013-04-13'),
('745705','flamboyan','gita','2025-03-08'),
('643833','lily','vina','2015-05-20'),
('200112','bougenville','dewi','2023-04-20'),
('187688','lily','tono','2021-09-26'),
('075676','mawar','indah','2012-07-10'),
('173837','anggrek','hendra','2011-11-04'),
('131588','lily','lia','2016-05-07'),
('969912','teratai','joko','2021-07-06'),
('496538','mawar','sari','2022-04-01'),
('902766','kenanga','kartika','2020-08-03'),
('991679','sakura','lia','2025-10-26'),
('639488','anggrek','wawan','2018-12-28'),
('238097','anggrek','utami','2020-02-24'),
('941097','sakura','eka','2018-01-11'),
('809643','melati','citra','2024-04-04'),
('537901','flamboyan','nanda','2020-12-30'),
('573462','sakura','joko','2019-08-26'),
('143364','bougenville','mira','2023-08-22'),
('974801','mawar','eka','2011-07-16'),
('193092','melati','gita','2016-12-24'),
('642606','kenanga','eka','2014-05-28'),
('463091','mawar','ayu','2016-04-05'),
('951764','mawar','vina','2018-04-23'),
('853813','kenanga','joko','2021-09-19'),
('051588','anggrek','fajar','2017-05-22'),
('249808','bougenville','nanda','2023-12-01'),
('488294','anggrek','tono','2013-09-15'),
('886729','bougenville','tono','2018-03-15'),
('578870','kenanga','rudi','2015-07-13'),
('061985','cempaka','wawan','2020-12-14'),
('104607','mawar','kartika','2012-03-24'),
('498502','sakura','eka','2013-07-19'),
('742658','flamboyan','lia','2024-06-09'),
('833834','cempaka','utami','2014-09-15'),
('062050','cempaka','eka','2020-10-16'),
('939626','cempaka','gita','2014-02-19'),
('947411','kenanga','indah','2011-02-09'),
('728226','kenanga','budi','2017-07-13'),
('878040','mawar','sari','2025-05-18'),
('428711','mawar','gita','2018-04-03'),
('427535','flamboyan','wawan','2016-10-20'),
('603347','melati','nanda','2019-09-09'),
('691735','sakura','nanda','2013-05-05'),
('572413','mawar','rudi','2023-02-13'),
('844195','bougenville','sari','2021-04-07'),
('036953','mawar','indah','2023-09-04'),
('302944','lily','tono','2014-05-05'),
('063709','teratai','joko','2012-11-12'),
('560455','flamboyan','fajar','2010-06-21'),
('874165','bougenville','rudi','2023-08-11'),
('395551','mawar','budi','2013-03-09'),
('102488','kenanga','tono','2014-08-27'),
('245890','cempaka','sari','2012-04-17'),
('335731','bougenville','fajar','2019-11-16'),
('674274','anggrek','indah','2018-10-19'),
('800541','cempaka','ayu','2021-01-14'),
('404032','mawar','budi','2018-06-21'),
('509351','anggrek','nanda','2011-09-29'),
('078698','sakura','dewi','2024-11-29'),
('903903','anggrek','indah','2011-07-25'),
('682661','melati','lia','2016-06-12'),
('021618','mawar','wawan','2010-07-06'),
('153347','mawar','fajar','2010-08-12'),
('372916','sakura','joko','2019-10-18'),
('637499','flamboyan','nanda','2011-07-23'),
('321638','lily','hendra','2017-05-31'),
('155190','mawar','tono','2015-03-25'),
('958691','melati','budi','2020-10-21'),
('618895','teratai','ayu','2011-03-21'),
('380174','flamboyan','citra','2020-05-26'),
('351751','teratai','wawan','2025-02-27'),
('601513','mawar','joko','2022-01-20'),
('941970','lily','lia','2018-06-19'),
('903585','anggrek','rudi','2020-05-14'),
('488543','mawar','fajar','2024-06-27'),
('563066','lily','lia','2010-08-18'),
('707190','cempaka','tono','2019-02-10'),
('245858','melati','mira','2023-10-09'),
('017448','mawar','sari','2011-10-31'),
('387640','kenanga','hendra','2025-05-24'),
('957291','sakura','citra','2016-01-12'),
('822716','cempaka','nanda','2015-01-31'),
('558092','mawar','joko','2023-06-09'),
('966873','cempaka','tono','2012-01-16'),
('787617','cempaka','hendra','2015-10-11'),
('577190','bougenville','dewi','2011-06-04'),
('662040','teratai','kartika','2025-06-02'),
('537907','lily','kartika','2023-12-18'),
('282386','flamboyan','indah','2010-03-11'),
('319099','lily','indah','2011-07-21'),
('957224','sakura','kartika','2015-10-27'),
('872770','flamboyan','utami','2012-10-02'),
('861594','sakura','dewi','2021-02-21'),
('646790','teratai','vina','2022-07-06'),
('054437','sakura','dewi','2012-03-26'),
('328725','teratai','hendra','2010-04-03'),
('806523','cempaka','ayu','2023-05-17'),
('209872','cempaka','tono','2019-05-31'),
('054134','teratai','fajar','2010-11-12'),
('240081','bougenville','nanda','2012-12-02'),
('419147','cempaka','eka','2018-09-11'),
('157931','bougenville','utami','2015-03-23'),
('655730','teratai','mira','2022-10-26'),
('627482','kenanga','ayu','2021-07-15'),
('138798','teratai','budi','2022-11-30'),
('276663','cempaka','nanda','2024-01-03'),
('163049','sakura','gita','2025-05-21'),
('644523','kenanga','nanda','2019-04-25'),
('576983','teratai','mira','2014-09-28'),
('870477','sakura','indah','2020-12-06'),
('138395','kenanga','citra','2025-11-23'),
('687372','teratai','ayu','2024-12-05'),
('224376','sakura','eka','2020-09-26'),
('136296','flamboyan','eka','2013-11-09'),
('661433','bougenville','hendra','2015-04-01'),
('661839','flamboyan','hendra','2025-05-30'),
('563330','kenanga','fajar','2010-01-20'),
('505939','bougenville','wawan','2013-04-22'),
('570771','melati','hendra','2014-04-29'),
('130537','cempaka','vina','2023-09-26'),
('939335','flamboyan','nanda','2024-03-26'),
('190933','lily','citra','2021-11-27'),
('273163','anggrek','dewi','2014-04-09'),
('409986','anggrek','nanda','2023-09-24'),
('473098','cempaka','gita','2012-10-06'),
('240966','sakura','eka','2020-01-08'),
('153525','melati','mira','2010-12-04'),
('294411','melati','sari','2024-03-15'),
('233476','anggrek','lia','2022-01-29'),
('188311','mawar','sari','2013-02-28'),
('650067','bougenville','gita','2016-01-17'),
('961787','lily','tono','2021-08-11'),
('076415','kenanga','eka','2011-09-10'),
('131515','lily','joko','2024-04-02'),
('540847','melati','tono','2013-04-09'),
('090037','flamboyan','kartika','2024-06-04'),
('364987','cempaka','joko','2018-12-26'),
('552204','lily','fajar','2015-06-13'),
('158887','sakura','rudi','2016-02-02'),
('292977','sakura','utami','2017-05-16'),
('454699','anggrek','kartika','2013-10-24'),
('064742','cempaka','wawan','2016-04-18'),
('747135','teratai','budi','2014-09-16'),
('710514','mawar','ayu','2014-06-19'),
('911286','bougenville','utami','2021-07-14'),
('160898','lily','fajar','2018-09-04'),
('461653','kenanga','citra','2011-10-10'),
('915348','melati','eka','2019-12-09'),
('202905','flamboyan','kartika','2025-10-21'),
('684967','bougenville','vina','2010-07-23'),
('363240','sakura','vina','2016-04-15'),
('987725','melati','utami','2014-02-19'),
('466967','lily','rudi','2017-09-26'),
('223873','bougenville','nanda','2021-10-15'),
('150807','flamboyan','citra','2022-09-03'),
('140797','kenanga','joko','2019-01-14'),
('376359','bougenville','mira','2018-05-20'),
('143304','bougenville','eka','2014-07-10'),
('446645','cempaka','mira','2019-09-13'),
('330778','lily','citra','2025-11-22'),
('836176','teratai','sari','2012-11-16'),
('617212','anggrek','rudi','2010-08-15'),
('118055','teratai','indah','2018-03-23'),
('486883','flamboyan','fajar','2022-07-16'),
('087368','bougenville','hendra','2017-12-31'),
('669145','mawar','fajar','2022-05-16'),
('279429','mawar','mira','2024-12-22'),
('299240','kenanga','kartika','2017-07-06'),
('097078','teratai','citra','2012-05-25'),
('369061','cempaka','joko','2021-07-13'),
('797480','anggrek','mira','2018-08-23'),
('021693','sakura','nanda','2017-05-01'),
('950744','sakura','hendra','2010-08-19'),
('442276','cempaka','mira','2013-09-21'),
('273367','melati','gita','2013-04-20'),
('088757','mawar','mira','2014-02-01'),
('331249','cempaka','eka','2025-04-29'),
('406502','kenanga','fajar','2013-07-25'),
('962854','flamboyan','ayu','2014-02-03'),
('584021','anggrek','sari','2016-12-06'),
('192060','mawar','utami','2022-04-26'),
('358827','kenanga','rudi','2016-02-28'),
('304784','anggrek','budi','2013-10-26'),
('998068','flamboyan','tono','2012-04-15'),
('315239','cempaka','fajar','2022-02-19'),
('982373','kenanga','hendra','2025-09-27'),
('355894','teratai','gita','2021-07-24'),
('732135','flamboyan','dewi','2025-09-04'),
('751350','cempaka','tono','2023-03-29'),
('478718','melati','kartika','2015-01-22'),
('933207','cempaka','lia','2021-05-06'),
('459452','teratai','ayu','2022-07-12'),
('820089','flamboyan','dewi','2010-08-07'),
('383652','cempaka','gita','2021-12-28'),
('576809','mawar','vina','2023-10-10'),
('559381','anggrek','mira','2024-11-05'),
('862255','cempaka','dewi','2022-08-07'),
('701887','mawar','fajar','2025-01-12'),
('953578','flamboyan','ayu','2022-09-09'),
('425517','anggrek','eka','2024-03-21'),
('667533','bougenville','utami','2024-05-09'),
('343324','cempaka','fajar','2018-11-13'),
('431347','kenanga','budi','2020-06-01'),
('424462','lily','eka','2020-12-16'),
('572438','cempaka','lia','2011-04-05'),
('394071','bougenville','indah','2010-08-06'),
('825200','anggrek','citra','2013-11-23'),
('136818','teratai','gita','2019-06-08'),
('110754','teratai','vina','2020-01-11'),
('797543','cempaka','citra','2010-05-24'),
('807769','cempaka','tono','2018-06-27'),
('744549','mawar','dewi','2010-11-20'),
('326927','anggrek','wawan','2011-09-05'),
('927142','cempaka','budi','2018-09-26'),
('795525','mawar','vina','2012-06-25'),
('666396','kenanga','dewi','2017-02-05'),
('781762','lily','utami','2020-01-22'),
('783986','bougenville','citra','2017-12-14'),
('029332','anggrek','sari','2019-06-15'),
('691181','lily','eka','2025-05-27'),
('494378','flamboyan','lia','2025-08-06'),
('242769','kenanga','rudi','2023-07-28'),
('485552','kenanga','rudi','2020-11-18'),
('653766','flamboyan','rudi','2024-11-08'),
('750877','lily','joko','2012-04-19'),
('143503','melati','vina','2013-11-10'),
('658626','melati','vina','2023-12-02'),
('465553','flamboyan','gita','2021-06-23'),
('841994','teratai','fajar','2013-02-06'),
('410327','anggrek','wawan','2016-08-02'),
('152385','bougenville','kartika','2017-01-18'),
('481900','anggrek','indah','2017-09-06'),
('632830','anggrek','citra','2022-07-22'),
('649425','mawar','mira','2018-03-25'),
('106425','teratai','mira','2012-04-28'),
('196272','teratai','kartika','2016-02-15'),
('513522','bougenville','lia','2023-09-10'),
('162736','mawar','fajar','2021-08-05'),
('384488','teratai','budi','2015-06-19'),
('020976','flamboyan','budi','2016-07-10'),
('421490','kenanga','vina','2010-07-18'),
('563528','cempaka','wawan','2014-07-25'),
('991168','bougenville','eka','2013-04-09'),
('545468','lily','hendra','2014-10-31'),
('558596','teratai','budi','2019-08-19'),
('480948','teratai','vina','2014-07-19'),
('809294','melati','hendra','2025-09-16'),
('735392','mawar','citra','2023-05-09'),
('718336','melati','citra','2013-04-17'),
('854022','cempaka','citra','2022-12-23'),
('583863','kenanga','kartika','2022-12-20'),
('596073','bougenville','tono','2016-03-13'),
('458515','melati','kartika','2025-06-30'),
('329310','flamboyan','kartika','2017-12-27'),
('396919','cempaka','joko','2017-04-30'),
('155694','mawar','wawan','2016-03-30'),
('025226','sakura','budi','2013-03-11'),
('962345','cempaka','gita','2016-06-11'),
('043814','mawar','mira','2014-09-14'),
('134463','kenanga','ayu','2010-05-11'),
('356613','flamboyan','vina','2013-11-13'),
('232561','anggrek','indah','2015-06-14'),
('406616','bougenville','rudi','2015-12-13'),
('362169','cempaka','hendra','2010-06-04'),
('607335','sakura','rudi','2015-03-29'),
('440988','sakura','nanda','2018-12-07'),
('139566','kenanga','indah','2018-06-27'),
('513573','sakura','mira','2025-05-23'),
('349955','teratai','hendra','2016-07-14'),
('247782','bougenville','ayu','2014-03-02'),
('818908','lily','joko','2016-05-05'),
('153292','melati','ayu','2011-07-26'),
('590096','sakura','citra','2023-11-15'),
('347146','flamboyan','indah','2010-05-19'),
('271541','sakura','eka','2021-10-08'),
('275710','flamboyan','tono','2013-05-23'),
('509393','bougenville','hendra','2019-09-01'),
('319513','kenanga','fajar','2018-06-23'),
('501073','sakura','eka','2020-11-26'),
('637922','sakura','kartika','2024-01-24'),
('716975','cempaka','indah','2013-06-20'),
('648639','bougenville','joko','2015-07-07'),
('642842','melati','budi','2023-11-10'),
('203070','mawar','tono','2025-06-07'),
('507242','teratai','mira','2023-10-09'),
('331248','mawar','dewi','2019-01-09'),
('446921','sakura','vina','2012-06-28'),
('839152','anggrek','eka','2022-03-14'),
('944497','anggrek','hendra','2015-03-24'),
('212996','lily','hendra','2018-07-24'),
('731731','flamboyan','sari','2012-02-10'),
('727957','bougenville','ayu','2010-08-06'),
('851977','anggrek','budi','2015-11-20'),
('676988','melati','mira','2018-07-31'),
('154104','lily','eka','2012-05-17'),
('196196','teratai','hendra','2011-09-28'),
('337405','bougenville','joko','2024-10-16'),
('741101','lily','kartika','2011-04-16'),
('955668','teratai','gita','2010-08-09'),
('595933','anggrek','kartika','2012-01-20'),
('029420','mawar','eka','2014-05-14'),
('071953','lily','wawan','2025-08-04'),
('504570','kenanga','ayu','2018-06-23'),
('927171','anggrek','ayu','2022-09-13'),
('817384','anggrek','lia','2012-02-13'),
('403460','kenanga','budi','2020-09-07'),
('489491','lily','vina','2021-11-22'),
('607744','flamboyan','joko','2010-09-13'),
('700535','anggrek','budi','2014-12-02'),
('358502','anggrek','fajar','2010-06-25'),
('960357','sakura','budi','2010-12-29'),
('665351','mawar','lia','2015-01-18'),
('891116','lily','sari','2024-01-18'),
('972191','kenanga','rudi','2020-10-12'),
('578948','mawar','budi','2016-05-04'),
('223504','kenanga','citra','2019-02-25'),
('001263','bougenville','mira','2014-11-12'),
('460740','lily','ayu','2022-05-26'),
('151704','bougenville','citra','2013-08-02'),
('123155','lily','kartika','2014-09-08'),
('898503','cempaka','nanda','2011-11-27'),
('615728','kenanga','wawan','2024-02-29'),
('821396','lily','dewi','2017-01-17'),
('072007','anggrek','vina','2010-02-28'),
('781477','flamboyan','ayu','2015-05-21'),
('588628','sakura','kartika','2013-07-03'),
('569142','bougenville','lia','2024-01-05'),
('719258','mawar','gita','2012-11-30'),
('314289','melati','budi','2015-10-07'),
('479667','lily','eka','2017-12-15'),
('201790','flamboyan','ayu','2023-08-14'),
('270158','cempaka','nanda','2025-03-27'),
('847138','melati','budi','2012-10-13'),
('046567','bougenville','nanda','2019-10-10'),
('600001','flamboyan','joko','2014-07-17'),
('712042','kenanga','wawan','2024-03-04'),
('805963','melati','hendra','2021-07-29'),
('118115','sakura','budi','2020-06-20'),
('714961','kenanga','hendra','2021-10-26'),
('832397','melati','kartika','2015-12-16'),
('652926','flamboyan','rudi','2020-01-04'),
('410198','sakura','tono','2013-06-17'),
('041546','bougenville','hendra','2025-07-17'),
('540699','kenanga','rudi','2020-11-15'),
('855070','anggrek','kartika','2017-08-02'),
('222165','melati','budi','2012-04-20'),
('564816','anggrek','eka','2017-11-22'),
('991361','mawar','fajar','2018-06-22'),
('344154','bougenville','kartika','2012-01-31'),
('207658','cempaka','joko','2014-11-19'),
('340171','flamboyan','kartika','2021-07-28'),
('258218','cempaka','eka','2013-02-11'),
('920825','kenanga','eka','2019-04-07'),
('875292','flamboyan','indah','2021-11-19'),
('467945','mawar','ayu','2016-09-15'),
('692695','cempaka','vina','2024-10-10'),
('253836','kenanga','lia','2014-09-29'),
('069328','teratai','indah','2012-02-02'),
('289281','sakura','tono','2011-03-22'),
('746478','cempaka','vina','2011-01-16'),
('601910','flamboyan','ayu','2012-07-21'),
('684854','mawar','indah','2024-09-03'),
('638254','sakura','fajar','2015-06-17'),
('607256','teratai','hendra','2017-05-25'),
('670233','melati','sari','2017-06-14'),
('865455','mawar','gita','2024-11-17'),
('354943','melati','gita','2013-10-24'),
('104336','flamboyan','ayu','2022-12-31'),
('037310','lily','nanda','2022-05-04'),
('973654','flamboyan','sari','2021-06-19'),
('399206','flamboyan','nanda','2024-07-11'),
('050006','melati','joko','2019-09-03'),
('901101','melati','wawan','2013-02-19'),
('633925','kenanga','tono','2022-04-24'),
('907271','mawar','kartika','2018-01-30'),
('834527','melati','eka','2010-05-19'),
('965109','bougenville','vina','2019-05-21'),
('824655','flamboyan','wawan','2012-09-25'),
('835282','kenanga','nanda','2013-02-08'),
('994901','anggrek','indah','2020-02-25'),
('592729','mawar','indah','2013-01-18'),
('120262','cempaka','tono','2021-06-02'),
('175243','lily','citra','2012-06-10'),
('970734','teratai','dewi','2021-04-01'),
('309945','kenanga','sari','2020-09-08'),
('880480','kenanga','eka','2017-09-28'),
('842527','teratai','tono','2020-02-21'),
('562798','teratai','mira','2020-08-15'),
('492456','lily','wawan','2016-08-18'),
('725551','bougenville','hendra','2015-11-07'),
('254317','bougenville','fajar','2011-06-21'),
('615250','mawar','sari','2025-09-20'),
('332075','sakura','rudi','2023-07-26'),
('464808','sakura','joko','2023-02-16'),
('760819','lily','kartika','2017-06-10'),
('946875','lily','budi','2010-12-06'),
('953931','sakura','rudi','2023-01-12'),
('185412','kenanga','joko','2020-06-17'),
('056297','kenanga','dewi','2022-02-05'),
('222048','flamboyan','sari','2010-03-20'),
('943396','anggrek','fajar','2018-06-27'),
('844893','lily','rudi','2018-04-28'),
('303103','cempaka','budi','2010-10-31'),
('658735','cempaka','dewi','2014-02-24'),
('127562','melati','vina','2022-05-22'),
('424203','kenanga','rudi','2015-09-22'),
('733778','mawar','hendra','2018-07-22'),
('565414','teratai','kartika','2017-12-17'),
('841432','teratai','ayu','2020-11-02'),
('272177','flamboyan','tono','2015-10-26'),
('205235','anggrek','lia','2016-04-18'),
('110875','teratai','fajar','2022-09-02'),
('518525','bougenville','eka','2014-01-12'),
('234170','bougenville','rudi','2021-04-23'),
('831086','sakura','ayu','2010-06-03'),
('264978','mawar','ayu','2013-11-12'),
('706429','teratai','hendra','2018-08-05'),
('102768','sakura','fajar','2018-11-05'),
('475003','lily','wawan','2010-03-20'),
('639787','melati','tono','2015-08-09'),
('846079','anggrek','kartika','2013-11-20'),
('668453','bougenville','tono','2023-10-09'),
('112559','cempaka','dewi','2015-06-07'),
('358082','mawar','ayu','2025-11-26'),
('074503','sakura','indah','2022-12-15'),
('740281','anggrek','hendra','2010-01-17'),
('513366','teratai','kartika','2017-12-11'),
('922261','kenanga','nanda','2025-06-17'),
('975209','anggrek','citra','2019-10-09'),
('392374','bougenville','hendra','2011-06-23'),
('622774','teratai','kartika','2023-01-07'),
('572557','flamboyan','rudi','2018-04-05'),
('742652','melati','tono','2012-01-22'),
('532337','lily','fajar','2011-11-15'),
('376120','bougenville','vina','2015-09-21'),
('860460','lily','indah','2019-04-25'),
('728616','cempaka','wawan','2010-10-11'),
('792973','sakura','vina','2023-09-25'),
('637143','anggrek','mira','2016-12-22'),
('968848','mawar','lia','2016-09-27'),
('982491','flamboyan','budi','2022-09-23'),
('292292','lily','mira','2015-08-27'),
('789404','melati','ayu','2012-09-18'),
('401430','melati','utami','2017-07-27'),
('188748','mawar','fajar','2025-05-03'),
('207640','flamboyan','mira','2013-12-02'),
('421200','lily','fajar','2012-03-11'),
('330418','melati','joko','2015-10-27'),
('568284','bougenville','kartika','2016-04-30'),
('991562','melati','rudi','2023-01-27'),
('195205','flamboyan','fajar','2016-06-21'),
('781759','cempaka','tono','2022-10-30'),
('808414','cempaka','nanda','2011-06-03'),
('843986','cempaka','citra','2021-08-11'),
('788301','melati','hendra','2020-03-07'),
('556951','cempaka','lia','2010-09-15'),
('744781','flamboyan','lia','2024-09-15'),
('284120','lily','mira','2023-10-10'),
('955009','mawar','utami','2022-11-29'),
('374654','kenanga','nanda','2010-10-14'),
('265559','mawar','hendra','2023-08-24'),
('078083','lily','utami','2013-05-06'),
('687971','sakura','tono','2017-02-15'),
('598095','lily','lia','2025-03-13'),
('170921','mawar','indah','2022-11-16'),
('256530','kenanga','wawan','2014-05-20'),
('674513','lily','rudi','2016-10-11'),
('566804','anggrek','lia','2016-12-25'),
('766362','lily','citra','2021-06-29'),
('028391','anggrek','hendra','2017-06-05'),
('217959','kenanga','mira','2017-05-29'),
('985614','anggrek','mira','2015-10-15'),
('706799','bougenville','kartika','2014-05-08'),
('425268','lily','fajar','2022-04-21'),
('650928','lily','eka','2010-06-11'),
('349440','kenanga','tono','2023-04-27'),
('494164','lily','wawan','2016-06-30'),
('184560','sakura','rudi','2010-07-12'),
('392912','lily','kartika','2013-12-25'),
('168907','melati','eka','2023-10-24'),
('891595','sakura','sari','2012-08-20'),
('469369','anggrek','kartika','2015-02-10'),
('726437','melati','lia','2015-02-16'),
('315822','anggrek','tono','2019-11-17'),
('716071','lily','rudi','2016-06-23'),
('228808','bougenville','kartika','2017-01-07'),
('190067','anggrek','dewi','2016-01-27'),
('834898','kenanga','utami','2020-08-18'),
('122952','flamboyan','ayu','2023-06-10'),
('530614','melati','fajar','2019-12-23'),
('709325','kenanga','ayu','2018-03-12'),
('001761','teratai','sari','2023-05-19'),
('464742','sakura','vina','2014-07-31'),
('706066','teratai','budi','2018-11-30'),
('991662','melati','eka','2018-12-13'),
('347857','cempaka','rudi','2010-03-05'),
('293980','mawar','gita','2017-06-21'),
('799367','melati','ayu','2016-11-18'),
('000572','sakura','ayu','2016-11-28'),
('022910','melati','lia','2024-09-19'),
('083623','melati','ayu','2011-09-17'),
('080446','mawar','kartika','2012-12-08'),
('649468','anggrek','fajar','2012-06-01'),
('849809','flamboyan','dewi','2019-01-27'),
('973158','lily','tono','2013-06-04'),
('349802','lily','fajar','2016-07-27'),
('643939','flamboyan','gita','2015-10-18'),
('144284','bougenville','indah','2015-07-27'),
('552068','mawar','nanda','2018-05-30'),
('243803','mawar','mira','2014-06-26'),
('343988','lily','indah','2013-04-05'),
('416296','sakura','budi','2022-08-31'),
('223853','teratai','indah','2021-05-15'),
('428172','sakura','gita','2019-02-27'),
('994110','sakura','ayu','2017-06-03'),
('698417','kenanga','kartika','2016-06-16'),
('814664','lily','vina','2016-10-16'),
('847784','cempaka','dewi','2023-09-29'),
('140229','sakura','fajar','2012-06-26'),
('267140','flamboyan','nanda','2024-11-10'),
('576466','flamboyan','fajar','2016-02-08'),
('217507','anggrek','lia','2011-12-05'),
('820124','mawar','hendra','2025-05-09'),
('991181','cempaka','sari','2023-01-20'),
('952330','mawar','rudi','2013-04-27'),
('139400','flamboyan','fajar','2018-04-03'),
('877592','kenanga','mira','2020-05-30'),
('005371','lily','utami','2020-12-28'),
('612577','anggrek','vina','2014-09-29'),
('306679','flamboyan','fajar','2011-07-08'),
('639833','sakura','sari','2015-01-29'),
('427155','flamboyan','eka','2023-12-31'),
('774507','anggrek','citra','2015-01-23'),
('832972','cempaka','fajar','2024-04-29'),
('388287','bougenville','mira','2022-06-16'),
('542958','kenanga','indah','2024-04-03'),
('709140','sakura','eka','2013-05-19'),
('645198','flamboyan','budi','2011-06-17'),
('684776','cempaka','rudi','2017-04-01'),
('745583','mawar','mira','2020-06-30'),
('960035','teratai','eka','2020-05-06'),
('025052','cempaka','hendra','2025-01-18'),
('061140','sakura','indah','2012-06-01'),
('802149','teratai','utami','2018-02-14'),
('636784','teratai','rudi','2021-12-08'),
('741139','teratai','dewi','2012-05-24'),
('224884','teratai','dewi','2022-08-07'),
('313322','sakura','joko','2011-05-27'),
('519566','sakura','hendra','2016-04-15'),
('155947','mawar','tono','2019-11-21'),
('120364','melati','sari','2021-11-30'),
('067808','mawar','budi','2016-09-20'),
('638627','mawar','tono','2023-03-19'),
('866043','flamboyan','utami','2019-03-23'),
('665771','teratai','eka','2010-08-13'),
('535053','flamboyan','vina','2020-02-27'),
('386388','kenanga','budi','2023-03-31'),
('667407','mawar','hendra','2017-12-11'),
('468446','teratai','joko','2014-02-02'),
('263072','teratai','wawan','2020-11-19'),
('860096','flamboyan','utami','2024-02-23'),
('864823','lily','utami','2023-01-02'),
('589879','bougenville','ayu','2015-10-03'),
('655935','sakura','budi','2012-09-14'),
('900625','kenanga','lia','2024-02-10'),
('539896','lily','wawan','2021-01-05'),
('896233','sakura','utami','2011-11-24'),
('101789','mawar','ayu','2012-12-04'),
('958830','cempaka','dewi','2018-06-29'),
('554910','anggrek','tono','2024-09-30'),
('081948','kenanga','lia','2020-12-26'),
('999488','mawar','citra','2014-08-13'),
('277968','teratai','wawan','2018-11-28'),
('945767','flamboyan','nanda','2021-11-02'),
('674385','kenanga','rudi','2016-05-08'),
('245118','teratai','tono','2022-02-06'),
('852394','kenanga','nanda','2019-05-02'),
('873332','lily','utami','2012-01-07'),
('216010','cempaka','rudi','2016-12-07'),
('298519','anggrek','kartika','2018-10-26'),
('495906','flamboyan','mira','2020-02-26'),
('612584','sakura','joko','2014-11-14'),
('080456','kenanga','indah','2015-04-12'),
('734371','bougenville','wawan','2015-05-05'),
('174877','flamboyan','indah','2012-11-09'),
('696839','sakura','wawan','2023-02-13'),
('818290','bougenville','dewi','2015-04-16'),
('640572','bougenville','lia','2022-01-07'),
('276869','cempaka','hendra','2012-05-07'),
('207219','melati','lia','2022-07-02'),
('968353','flamboyan','dewi','2011-06-09'),
('979121','kenanga','dewi','2012-03-11'),
('941961','sakura','kartika','2024-09-17'),
('189711','melati','fajar','2021-11-29'),
('945780','kenanga','dewi','2010-10-08'),
('834010','lily','fajar','2010-08-21'),
('565795','teratai','kartika','2010-12-27'),
('427804','lily','tono','2013-05-24'),
('759231','melati','eka','2013-10-27'),
('304234','mawar','tono','2011-06-16'),
('989495','lily','nanda','2010-02-17'),
('305474','kenanga','sari','2012-10-21'),
('591078','teratai','mira','2014-04-05'),
('319503','lily','wawan','2012-05-18'),
('929548','cempaka','lia','2017-10-26'),
('266205','kenanga','eka','2012-10-31'),
('831757','sakura','nanda','2018-09-24'),
('910767','lily','joko','2025-04-30'),
('282785','melati','utami','2017-11-17'),
('414044','sakura','indah','2022-02-07'),
('997688','flamboyan','utami','2016-11-01'),
('035609','sakura','budi','2017-06-03'),
('486775','flamboyan','eka','2023-07-23'),
('085327','bougenville','eka','2020-12-01'),
('043691','teratai','joko','2024-01-08'),
('298922','mawar','gita','2021-01-26'),
('811966','anggrek','tono','2015-07-31'),
('326325','sakura','budi','2014-09-09'),
('957032','anggrek','kartika','2023-02-10'),
('221344','mawar','mira','2014-02-19'),
('801468','mawar','budi','2016-03-04'),
('557056','flamboyan','nanda','2021-09-20'),
('205736','lily','gita','2025-03-10'),
('172737','cempaka','tono','2013-03-24'),
('282927','mawar','gita','2011-12-26'),
('987486','cempaka','wawan','2024-10-28'),
('461910','anggrek','fajar','2016-01-15'),
('125260','mawar','nanda','2017-04-22'),
('751810','bougenville','sari','2021-01-09'),
('875525','kenanga','gita','2017-10-02'),
('227242','kenanga','nanda','2021-08-27'),
('551329','lily','fajar','2019-01-07'),
('876062','melati','indah','2011-11-06'),
('306005','sakura','gita','2016-04-10'),
('854252','kenanga','indah','2011-10-12'),
('988317','mawar','lia','2020-02-21'),
('777851','sakura','budi','2015-06-05'),
('528690','flamboyan','vina','2025-09-10'),
('037760','anggrek','gita','2016-11-04'),
('461539','cempaka','eka','2016-06-25'),
('944068','flamboyan','nanda','2020-05-13'),
('325616','anggrek','tono','2023-09-18'),
('904410','lily','lia','2019-10-31'),
('422156','mawar','dewi','2017-01-26'),
('231874','flamboyan','vina','2011-07-17'),
('474602','anggrek','rudi','2024-09-15'),
('177779','flamboyan','eka','2017-07-26'),
('760598','lily','budi','2011-08-03'),
('706519','bougenville','citra','2021-09-27'),
('338941','kenanga','eka','2025-11-19'),
('098571','teratai','kartika','2019-06-26'),
('205803','bougenville','vina','2011-01-19'),
('722222','bougenville','rudi','2017-10-21'),
('290256','teratai','kartika','2011-05-08'),
('904794','mawar','eka','2022-06-30'),
('154731','sakura','fajar','2024-04-05'),
('181508','bougenville','gita','2010-12-28'),
('220212','sakura','mira','2017-07-17'),
