INSERT into tentor (id_tentor, nama_tentor, alamat_tentor, tanggal_t) VALUES
('501314','Warren','Tarpak Boulevard','10-3-1982'),
('880134','Dora','Gulcik Loop','16-3-1981'),
('275186','Nell','Nenko View','21-10-1998'),
('311205','John','Tawop Avenue','29-4-1980'),
('280528','Lettie','Raljuf River','27-10-2000'),
('291776','Ellen','Uciuz Plaza','21-4-1987'),
('080099','Ralph','Nuuz Square','20-2-1995'),
('527704','Elva','Bevdig Boulevard','1-10-1974'),
('168980','Gilbert','Jucot Pass','25-1-1968'),
('342053','Agnes','Ridow Way','6-3-1996'),
('686983','Emma','Ujibo Drive','24-1-1970'),
('087260','Isaiah','Akkap Avenue','22-2-1975'),
('540540','Vincent','Bikunu Ridge','26-3-1988'),
('430885','Jimmy','Nudmuc Grove','14-6-1968'),
('633556','Arthur','Suma Parkway','9-2-1973'),
('345774','Mina','Kapzot Pass','1-8-1999'),
('114394','Floyd','Mafo Turnpike','21-4-1966'),
('480220','Sophia','Sosiju Plaza','20-2-1980'),
('044590','Harriett','Cezevi Junction','18-8-1987'),
('939357','Stephen','Pujkej Avenue','14-7-1972'),
('389978','Maud','Tige Pass','11-9-1982'),
('278355','Katherine','Atozab Extension','7-2-1972'),
('686352','Tom','Suwe Avenue','30-9-1967'),
('783678','Brett','Nafuh Manor','22-11-2001'),
('860304','Bruce','Nijwar Ridge','12-7-1997'),
('423631','Joshua','Messi Street','15-12-1998'),
('899200','Corey','Ozfoh Grove','25-2-1991'),
('922832','Delia','Ciem Key','15-3-1974'),
('780043','Emma','Owiciw Turnpike','4-10-2002'),
('677738','Bruce','Cimzoh Ridge','22-11-1965'),
('046495','Alex','Tuogo Drive','4-7-1972'),
('458601','Timothy','Pisbe Heights','30-5-1969'),
('515125','Estelle','Podal Road','1-5-1981'),
('570800','Manuel','Dugbav Way','31-10-1967'),
('459905','Jennie','Utled River','20-10-1994'),
('138925','Hallie','Teto Trail','26-2-1961'),
('736624','Mittie','Gule Grove','20-3-1966'),
('092879','Jesus','Vovu Heights','30-3-1999'),
('906660','Emilie','Futbiv Loop','25-7-2001'),
('988833','Sally','Nome Place','13-6-1988'),
('424452','Jose','Feci Square','11-6-1986'),
('108165','Jeffrey','Napaja Mill','6-7-1971'),
('041289','Luke','Pakre Turnpike','21-5-1998'),
('700133','Lily','Illuw Road','30-9-1966'),
('664482','Micheal','Zocjo Key','29-9-1963'),
('854650','Ida','Pavu Park','30-12-1999'),
('246314','Henrietta','Nepral Mill','16-6-1961'),
('791787','Victor','Lirab Turnpike','11-1-1991'),
('542237','Alvin','Kinsi Plaza','14-7-1963'),
('569549','Billy','Fahe Heights','22-6-1976'),
('768395','Caleb','Kuji Plaza','17-3-2000'),
('132556','Eula','Birras Lane','7-11-1977'),
('995122','Nannie','Gorbup Heights','6-1-1980'),
('762113','Lura','Ihaat Terrace','8-4-1970'),
('645170','Della','Ikuro Turnpike','8-1-1962'),
('877276','Earl','Lifed Park','29-7-2004'),
('689348','Franklin','Tevo Trail','11-7-1977'),
('204546','Joshua','Izeho Place','26-12-1970'),
('426436','Christina','Gizen River','18-9-1997'),
('214907','Lee','Ehla Extension','4-7-1966'),
('567521','Ernest','Jumsap Junction','9-6-1967'),
('809447','Etta','Gocfa Junction','16-1-1981'),
('745508','Lizzie','Dabog Junction','14-9-1998'),
('965383','Curtis','Zavev Pass','19-11-1975'),
('670144','Elnora','Bugoki Plaza','12-1-1972'),
('794688','Dominic','Zomboc Key','25-1-1970'),
('127390','Marc','Mavud Avenue','28-8-1986'),
('364073','Oscar','Mikobo Highway','12-1-1984'),
('145472','Jeanette','Zunsu Pass','29-5-1992'),
('297531','Elmer','Zufazu Square','26-5-1971'),
('798348','Jonathan','Lehap Place','20-9-1975'),
('126239','Lydia','Radle Pike','20-1-1965'),
('242444','Marvin','Igve Trail','14-5-1984'),
('036638','Addie','Femnas Highway','7-2-1966'),
('725571','Rachel','Sajzu Lane','6-4-1993'),
('344014','Flora','Zisaz Court','21-8-1982'),
('122670','Edna','Ufoluk Highway','21-10-1984'),
('309622','Abbie','Habof Grove','13-4-1990'),
('617795','Larry','Fadvo Pass','24-5-1997'),
('424804','Duane','Pisam Manor','3-12-2004'),
('906473','Brent','Asvev Loop','3-7-2007'),
('849859','Vernon','Webir Ridge','13-10-1990'),
('690081','Victor','Mofowe Manor','19-4-1977'),
('392067','Corey','Cewa Parkway','18-6-1968'),
('364617','Jennie','Biswe Heights','27-2-1973'),
('687531','Matilda','Verveh Avenue','29-8-2001'),
('277399','Vernon','Mopo Glen','9-11-1962'),
('087315','Catherine','Wivec Highway','9-10-1995'),
('247760','Lucas','Eneki Trail','10-9-1971'),
('852190','Devin','Kudge View','6-2-1963'),
('893487','Maud','Wubwi Heights','14-9-2005'),
('861134','Leah','Bulmu Park','28-9-1996'),
('019688','Lester','Lojliz Heights','2-2-1968'),
('398824','Calvin','Rovun Circle','29-6-1990'),
('989707','Jack','Ruhzem Pass','29-9-1993'),
('769172','Alvin','Nuohu Court','10-10-1963'),
('318639','Jason','Mocig Circle','23-5-1962'),
('350395','Dorothy','Laligo Loop','3-6-2001'),
('233196','Pauline','Cuag Pike','31-5-1962'),
('749029','Marc','Romat Turnpike','14-9-1972'),
('256108','Cole','Epsiw Drive','12-6-2005'),
('510075','Franklin','Welat Trail','30-9-1980'),
('761944','Daniel','Tema Path','2-9-1992'),
('952968','Winifred','Fubigu Extension','2-9-2001'),
('626466','Henrietta','Ilacew Way','31-7-1974'),
('271854','Amanda','Kotsu Pass','20-9-1967'),
('079161','Gordon','Majji Loop','15-3-1983'),
('238978','Jerry','Uticu Center','19-9-1982'),
('964340','Lina','Cijuc Heights','14-4-2005'),
('547697','Carolyn','Wised Junction','21-1-1990'),
('011949','Milton','Kupet Key','16-6-1981'),
('903673','Harvey','Cakem Mill','3-7-1968'),
('887724','Jack','Gegi Center','18-10-1994'),
('919866','Bobby','Raas Square','31-8-2001'),
('448079','Justin','Rerruj Loop','15-5-1988'),
('026592','Christian','Rizbi Key','19-1-2000'),
('385989','Raymond','Enoco View','22-12-1998'),
('201704','Edna','Venuf Boulevard','19-12-1961'),
('310666','Janie','Capwac Pike','27-10-1966'),
('055053','Max','Ropoje Point','15-12-1970'),
('175203','Landon','Ficli Glen','9-2-2006'),
('113933','Eleanor','Girzos Key','22-11-1984'),
('221449','Carlos','Kiszum Glen','10-4-1994'),
('016194','Edward','Fopvo Grove','31-1-1966'),
('768930','Georgia','Bunzaz Heights','28-9-2003'),
('169401','James','Odafo Drive','1-2-2001'),
('650981','Mathilda','Doca Extension','1-9-1987'),
('413301','Jesse','Avvu Highway','18-2-1979'),
('467497','Gavin','Sada Pike','26-12-1995'),
('585020','Jim','Nides Ridge','30-4-1987'),
('039671','Brian','Wehca Trail','27-10-2001'),
('914757','Troy','Vonuf Loop','9-2-1997'),
('678250','Richard','Noojo Mill','7-5-2002'),
('602278','Rebecca','Dikbej Glen','27-3-1992'),
('596801','Edna','Udebo Pass','26-7-1983'),
('730749','Nina','Mijwod Grove','12-3-1999'),
('302787','Sylvia','Seglu Pike','17-1-2001'),
('463210','Rosa','Budce Pass','1-1-1967'),
('838149','Thomas','Moji Manor','27-6-2004'),
('784636','Katharine','Oriden Grove','6-1-1978'),
('232198','Marian','Bovlez Glen','2-3-1997'),
('633553','Ricky','Huspeb Plaza','12-9-1962'),
('883358','Rhoda','Elebo Plaza','23-8-1962'),
('770612','Nina','Supac Path','30-11-1970'),
('611126','Josie','Hogbum Heights','15-9-1974'),
('091203','Hulda','Ehidib Extension','30-11-1966'),
('375471','Floyd','Zebfe Pass','14-6-1982'),
('171978','Leila','Dabe Pike','10-2-2005'),
('452542','Miguel','Hido Highway','18-2-1994'),
('109774','Daniel','Virga Square','18-5-1989'),
('378002','Thomas','Arege Pass','20-3-1969'),
('294549','Norman','Babo Place','28-5-1960'),
('853012','Larry','Ejvec Extension','18-5-1989'),
('666122','Lora','Eleig Key','13-9-1965'),
('566291','Johanna','Corcu Path','1-2-1987'),
('662519','Adele','Faore Way','27-5-1976'),
('157545','Jorge','Gegmu Parkway','24-6-2001'),
('967651','Leroy','Nujat Plaza','21-5-1996'),
('244197','Carrie','Puhoz Grove','17-1-1974'),
('649156','Andrew','Hahjon Path','20-10-1978'),
('996054','Milton','Ojoto Point','6-8-2005'),
('618177','Katie','Kuhaju Manor','5-10-1960'),
('700046','Gregory','Piiw Grove','19-8-1961'),
('778787','Marc','Ewasuk Way','26-11-1980'),
('486766','Antonio','Gaco Square','3-11-1999'),
('592715','Bill','Dupgub Heights','4-6-1981'),
('205428','Lura','Romi Pike','26-2-1970'),
('168137','Herbert','Fegje Glen','19-11-1981'),
('859555','Nora','Puiw Street','27-11-1988'),
('956191','Keith','Havo Heights','15-4-1977'),
('306495','Roy','Likfi Circle','12-2-1964'),
('159166','Joel','Dusbot Turnpike','31-1-1968'),
('136714','Adele','Wesuc Lane','18-7-1987'),
('690118','Lois','Ezaipu Path','4-2-1997'),
('541395','Billy','Eluha Key','30-5-1966'),
('557614','Rose','Tukij Trail','6-2-1986'),
('268775','Elmer','Dazgap Key','27-5-1975'),
('731265','Corey','Rabhi Mill','31-1-2003'),
('465734','John','Pavata Path','29-8-1969'),
('915136','Estelle','Pupe Trail','26-6-1960'),
('350737','Lester','Akelof Loop','21-11-2003'),
('668285','Lou','Huvlo Square','13-1-2004'),
('174181','Curtis','Joguf Ridge','5-8-1966'),
('045762','Eula','Zesu Pass','13-2-1994'),
('693661','Joel','Jojhav Path','19-10-2001'),
('187337','Callie','Ficvog Lane','6-5-2003'),
('303964','Lydia','Uzlep Park','12-12-1980'),
('147952','Claudia','Tika View','9-7-1972'),
('899448','Blanche','Sekok Glen','7-10-1975'),
('795296','Robert','Hajo Square','14-9-2001'),
('505005','Elmer','Jupga Heights','20-2-1961'),
('556502','Mabel','Ofali Boulevard','3-4-1984'),
('004578','Vernon','Witwe Manor','12-10-2007'),
('779323','Carlos','Fanref Way','13-4-1981'),
('106932','Joseph','Rimrew Turnpike','22-1-1968'),
('340728','Edward','Jawu View','5-10-1979'),
('398978','Cole','Gobpi Park','26-4-1999'),
('701194','Isaiah','Wabi Trail','28-10-1983'),
('050519','Edward','Vojnor View','9-4-1960'),
('721427','Emily','Divok Path','23-12-1987'),
('984425','Winnie','Omhi Point','9-8-2005'),
('125840','Jay','Udamo Highway','18-3-2002'),
('900441','Leroy','Posbi Terrace','8-2-1963'),
('164141','Elsie','Umju Parkway','1-4-1965'),
('395261','Aaron','Tiheta Glen','4-1-1976'),
('973834','Eula','Zuku Avenue','18-6-2007'),
('247687','Rebecca','Osejo Glen','30-5-1981'),
('644128','Ruth','Kolaw Point','21-2-1962'),
('680827','Rosalie','Heevi Point','27-7-2000'),
('137255','Mittie','Vanvip Place','20-10-1975'),
('294842','Genevieve','Calez Mill','17-4-1968'),
('994991','Mabelle','Liro Boulevard','30-10-1960'),
('238938','Augusta','Dutaf Highway','14-4-1983'),
('398833','Steven','Utco Glen','24-2-1972'),
('327621','Isaiah','Alune Way','26-9-1977'),
('245296','Warren','Hugu Parkway','30-10-1980'),
('553247','Ralph','Ilos Heights','30-3-1989'),
('566131','Alexander','Doddad Pass','16-12-1994'),
('001496','Joshua','Sariwu Extension','2-2-1993'),
('241845','Manuel','Amkar Key','28-4-1968'),
('361079','Ray','Nennu Trail','27-11-1989'),
('478949','Rosa','Cetep Junction','24-8-1965'),
('918242','Mayme','Seune Place','22-6-1998'),
('275812','Sara','Wihum Square','4-1-1995'),
('338124','Maggie','Igzu Place','13-8-1967'),
('733858','Iva','Nesrin Boulevard','10-6-1970'),
('769194','Dustin','Fuci Avenue','13-8-1970'),
('936746','Brett','Kased Extension','29-12-1981'),
('948445','Addie','Jofane Center','3-5-1964'),
('971593','Shane','Sadawo Plaza','21-10-1978'),
('867079','Brent','Juak Plaza','30-4-1987'),
('383038','Derek','Wesa Square','6-11-1968'),
('988810','Vernon','Fawha Loop','7-7-2006'),
('170640','Samuel','Wadut View','3-5-1978'),
('396359','Noah','Mirak Avenue','14-5-1992'),
('781609','Joseph','Eraib Pass','31-7-1975'),
('965895','Calvin','Niwfe Key','5-7-1975'),
('674081','Lewis','Inauz Highway','18-6-1983'),
('650885','Stephen','Raiva Pike','19-3-1960'),
('367945','Alma','Dacuh Lane','28-2-2001'),
('308187','Richard','Enca Pass','12-2-1989'),
('515952','Dylan','Miwces Center','28-9-1996'),
('862627','Lydia','Umaba Terrace','1-4-1969'),
('945197','Zachary','Uvepof Court','21-7-2004'),
('480713','Lou','Defol Avenue','4-12-1970'),
('615773','Mattie','Veeke Center','4-8-1974'),
('677329','Kathryn','Belat Ridge','25-8-1977'),
('373043','Madge','Lahhip Manor','22-9-1990'),
('963274','Cora','Dulo Drive','17-11-1998'),
('636602','Dora','Teze Drive','30-4-1992'),
('423873','Jimmy','Cucki Loop','22-11-1977'),
('063384','Jorge','Kacul Circle','18-6-1997'),
('025501','Cordelia','Ebotek Center','16-6-1976'),
('802457','Barry','Salgaz Parkway','25-12-1988'),
('028093','Hilda','Cisa River','28-11-1973'),
('075842','Georgia','Motro Court','20-8-1989'),
('420305','Trevor','Elol Square','30-6-1961'),
('410270','Gilbert','Avenam Mill','4-1-1985'),
('520241','Rosalie','Wolrog Road','1-2-1990'),
('300974','Alejandro','Logcaz View','20-2-1986'),
('973156','Daniel','Cooj Key','3-5-1981'),
('766064','Catherine','Laho Key','16-9-2004'),
('263023','Bryan','Wuli Highway','6-11-1966'),
('021066','Emilie','Ogoco Extension','9-7-2000'),
('975654','Norman','Rotas River','3-4-1965'),
('273567','Philip','Jahe Extension','24-10-1981'),
('350469','Dean','Jizwu Pass','17-2-1981'),
('397519','Maude','Civzen Heights','15-6-2003'),
('163335','Stella','Sinta Drive','4-2-1997'),
('808185','Vernon','Fosi View','18-6-1982'),
('506942','Steve','Zumes Ridge','30-7-1971'),
('589837','Flora','Uzhud River','14-12-1997'),
('605859','Jason','Dollu Street','1-1-1989'),
('076048','Leo','Fetew Loop','3-2-1972'),
('047633','Lola','Ejihit Point','29-4-1971'),
('799243','Mitchell','Zovuv Glen','2-4-1962'),
('430525','Dominic','Wuana Way','28-5-1981'),
('842770','Ruby','Nowe Extension','26-9-1966'),
('430288','Donald','Avpo Point','2-10-1989'),
('656190','David','Izzu River','23-2-1983'),
('284467','Cornelia','Vivic Parkway','29-1-1973'),
('652777','Millie','Fime Heights','24-4-1999'),
('230982','Edith','Fimhu Park','5-11-1988'),
('737405','Maurice','Nohgud Manor','6-1-2003'),
('584293','Chad','Inwu Center','20-10-2002'),
('195015','Victoria','Zutuw Grove','19-4-1996'),
('952089','William','Vargi Pass','29-1-1977'),
('642619','George','Ucooca Ridge','6-10-1963'),
('201714','Logan','Lesav Road','14-3-1991'),
('156586','Virginia','Defpa Street','3-1-1968'),
('110579','Paul','Vicdo Manor','14-2-1973'),
('630805','Dollie','Sukib River','17-2-1984'),
('210323','Michael','Urfo Grove','24-3-1964'),
('086894','Polly','Rogif Place','28-7-1968'),
('114859','Dora','Egja Point','11-4-1965'),
('712842','Gordon','Getme Mill','29-10-1999'),
('348723','Pauline','Tiki Manor','7-8-2006'),
('601911','Victor','Hefelo Mill','27-5-1967'),
('733209','Lydia','Mumtu Path','14-10-2001'),
('227310','Emilie','Beslo River','16-7-1988'),
('821873','Hettie','Zeop Loop','27-1-1987'),
('236437','Edgar','Vowew Road','16-6-1996'),
('829531','Maria','Wodjuz Highway','23-1-1961'),
('147381','Lester','Mesaj View','19-3-1977'),
('930346','Gavin','Nisug Grove','3-6-2005'),
('380743','Gary','Gabtal Avenue','12-11-1970'),
('287942','Linnie','Karje Grove','2-6-1979'),
('788074','Sallie','Keepo Glen','2-8-1968'),
('168259','Leona','Cimizi Turnpike','25-2-1992'),
('505639','Russell','Mesli Place','23-6-1965'),
('423532','Bradley','Kockiz Ridge','31-3-1981'),
('858959','Jeremy','Iwiga Place','25-10-2002'),
('227754','Jerry','Pebjuj Ridge','25-4-1972'),
('614777','Ethan','Filze Mill','18-12-1975'),
('283889','Herman','Ugdu Terrace','12-1-1976'),
('682199','Grace','Kelvat Extension','11-10-1966'),
('604727','Austin','Ezhif Circle','17-6-2005'),
('871801','Bertie','Hegu Terrace','22-7-1970'),
('470219','Linnie','Bawod Avenue','24-11-2003'),
('334837','Lester','Gieda Terrace','13-12-1982'),
('774091','Maurice','Jotute Heights','20-8-2002'),
('525209','Sarah','Zegpis Pass','3-2-1973'),
('888207','Flora','Ohcu Pass','24-2-1969'),
('534920','Adele','Hofor View','25-7-1998'),
('625814','Tony','Poupa Circle','20-7-1999'),
('170362','Stephen','Renemi Junction','5-11-1967'),
('430692','Terry','Ence Center','18-7-1998'),
('758358','Vera','Fouzu Lane','27-5-2004'),
('525912','Russell','Topen Terrace','30-11-1973'),
('600688','Dennis','Heozo Glen','13-7-2007'),
('096140','Belle','Fener Park','17-4-1982'),
('851315','Jeremiah','Sehol Point','14-5-1993'),
('423207','Elijah','Popru Pike','9-12-1960'),
('221348','Effie','Juksi Trail','23-9-1994'),
('052428','Jon','Gepgur Path','6-5-1996'),
('480777','Alma','Gohlav Loop','22-2-1984'),
('394768','Philip','Igtec Boulevard','1-5-1992'),
('903924','Estella','Sopga Highway','30-7-1965'),
('318659','Dennis','Micul Highway','15-5-1985'),
('667087','Sean','Uciego Mill','5-12-1999'),
('798145','Sue','Zomrif Street','6-8-1968'),
('886854','Nell','Bizman Park','1-2-1964'),
('056263','Russell','Jetitu Park','16-9-2004'),
('402673','Anthony','Lesel Key','10-4-1977'),
('098660','Mattie','Jetoh Highway','19-3-1968'),
('922957','Milton','Perar Extension','9-1-1963'),
('780881','Lois','Necum Pike','16-8-1961'),
('791725','Calvin','Idope Ridge','30-5-1989'),
('675182','Mable','Voclob Trail','9-10-1972'),
('896090','Viola','Nibhe Loop','6-8-1995'),
('858965','Lillie','Huuwa Ridge','11-4-1971'),
('965645','Eric','Giho Place','11-6-1962'),
('143778','Barry','Kijazu Road','9-7-1993'),
('812088','Herbert','Kavu Circle','26-8-1999'),
('398528','Ricardo','Ozoduj Path','9-7-1967'),
('328590','Walter','Atuzu Center','15-3-1967'),
('479034','Lola','Ruot Heights','9-12-2001'),
('972395','Dora','Imjut Pass','18-5-1966'),
('809714','Phoebe','Nohtih Road','8-8-1985'),
('702843','Hunter','Pipri Pike','25-12-1977'),
('372072','Ethel','Bamu Pike','10-9-1982'),
('416631','Eddie','Fubu Boulevard','25-9-1970'),
('515269','Jane','Ruwa Ridge','6-4-1966'),
('126844','Timothy','Luru Parkway','18-8-1962'),
('740157','Luis','Duvag Street','21-12-1965'),
('854401','Catherine','Tubo Highway','26-10-1973'),
('279012','Steven','Gerjav Heights','22-11-1970'),
('106495','Elsie','Mupani Plaza','10-3-1986'),
('031949','Delia','Zuglo Glen','27-6-1975'),
('608753','Dean','Zuvca Highway','8-3-1984'),
('608104','Lester','Ufomov Street','23-12-1966'),
('810743','Winifred','Zujin Court','8-11-1999'),
('050852','Cecilia','Wevon Street','3-7-1972'),
('603380','Ophelia','Tabda Mill','19-6-1986'),
('588051','Daniel','Buzezo Heights','8-12-1970'),
('392264','Warren','Uroec Highway','24-2-1964'),
('168788','Agnes','Igkoz Center','17-5-1983'),
('352022','Evelyn','Jizuz Turnpike','17-1-2005'),
('133836','Mayme','Imonuc Center','8-6-1966'),
('101804','Jared','Junfi Avenue','8-6-1995'),
('054300','Antonio','Olako View','23-8-1993'),
('347970','Blake','Viano Ridge','30-4-1986'),
('718411','Leona','Fudah Square','5-4-1996'),
('708314','Eddie','Vara Key','20-8-1999'),
('238771','Lilly','Wodra Loop','16-4-2005'),
('087402','Virgie','Vair Path','2-12-1997'),
('255485','Georgia','Uloke Heights','5-4-1996'),
('179943','Chester','Juuci Trail','17-2-1966'),
('720138','Manuel','Kaige Boulevard','18-7-1981'),
('044873','Elsie','Unoane Drive','13-8-1972'),
('835516','Beulah','Relog Plaza','14-5-1969'),
('609583','Leila','Godpul View','11-7-2007'),
('636617','Marie','Sewe Extension','4-8-1986'),
('069853','Luis','Zurmal Loop','11-5-1964'),
('079684','Ernest','Ideluh Manor','30-5-2001'),
('764022','Eddie','Zonri Drive','24-11-1990'),
('443106','Evelyn','Kijho Grove','22-11-2005'),
('573052','Henry','Cakil View','25-6-2002'),
('597348','Cory','Wawgi Key','4-9-1960'),
('357821','Blake','Linka Grove','18-6-1996'),
('334995','Oscar','Leffo Park','26-3-1998'),
('921115','Isaiah','Gipzu Place','29-11-1996'),
('972723','Katharine','Iffu Glen','28-7-1987'),
('514242','Calvin','Wofet Loop','9-7-1965'),
('123111','Austin','Winig Loop','20-1-1990'),
('929713','Jessie','Fipol Path','3-9-1960'),
('390598','Tillie','Pazra Extension','5-3-1988'),
('309624','Steve','Zozzi Junction','22-7-1984'),
('904946','Mayme','Kaztu Highway','12-8-1966'),
('219253','Lucile','Tugje Boulevard','26-2-1976'),
('288960','Marcus','Macos Place','17-1-1986'),
('762619','Philip','Gizce Terrace','3-9-1977'),
('467017','Derek','Uvkon Pike','28-7-1975'),
('754578','Allie','Bubluk River','25-7-1965'),
('932131','Belle','Wadad Road','4-3-1989'),
('970601','Beulah','Ivokan Square','4-6-1997'),
('834090','Blanche','Nujul Glen','3-10-1992'),
('821063','Cecelia','Ruzvon Heights','28-12-1967'),
('246625','Bill','Ciibe Circle','6-10-1998'),
('572694','Craig','Gizuz Glen','31-1-1969'),
('277031','Luella','Gurij Park','12-12-2001'),
('821119','Arthur','Hoeho Parkway','1-3-2006'),
('424739','Allie','Cafdoc Path','21-12-1983'),
('908049','Cordelia','Fese Mill','7-10-1977'),
('317975','Lillie','Sibi Highway','25-7-1981'),
('457668','Michael','Tacdu Terrace','4-4-1979'),
('110081','Clifford','Epdid Extension','13-4-1965'),
('105732','Brandon','Wieju View','3-4-1983'),
('073940','Craig','Kunet Pike','25-9-2007'),
('929365','Bessie','Pewfu Ridge','12-12-1978'),
('275207','Harriet','Totpa Loop','26-1-1999'),
('299429','Betty','Zonel Drive','19-4-1981'),
('967194','Ethan','Bilu Parkway','20-8-1990'),
('487392','Gertrude','Lazicu Place','24-7-1960'),
('210296','Isaiah','Peldu Key','19-7-1966'),
('111161','Ina','Cuda Extension','29-3-1968'),
('305423','Maude','Izoku Park','2-5-1972'),
('185847','William','Ceni Way','31-5-1982'),
('636030','Jack','Dilih Highway','15-7-1962'),
('297993','Ophelia','Isuze Grove','8-5-1964'),
('230709','Edith','Bepdet Plaza','11-1-1988'),
('858894','Lottie','Cori Court','7-2-1966'),
('311851','Estella','Gedfa Lane','10-2-2006'),
('992963','Raymond','Venuk Boulevard','26-2-1995'),
('512968','Adrian','Orokuz Avenue','28-6-1974'),
('895635','Hilda','Cahoh Trail','5-7-1963'),
('210679','Chester','Odemi Highway','12-8-1969'),
('430590','Jared','Sadfa Trail','23-9-1981'),
('590024','Seth','Heblac Glen','18-3-1974'),
('191794','Maud','Koin Trail','2-11-2001'),
('660564','Pearl','Pudip Pass','6-10-1962'),
('831700','Mattie','Uwulap Parkway','1-7-1961'),
('960316','Rebecca','Tihzu Park','21-8-2000'),
('546490','Bruce','Facok Manor','26-2-2005'),
('329369','Clifford','Ekojeb View','18-1-1987');
