INSERT into siswa (id_siswa, nama_siswa, tanggal_lahir, kelamin) VALUES
('247674','indah','2011-04-28','P'),
('828631','mira','2014-04-11','P'),
('162045','rina','2009-04-28','P'),
('012201','tono','2013-12-27','P'),
('276946','citra','2005-12-07','L'),
('137727','gita','2005-06-26','L'),
('134628','gita','2013-07-08','P'),
('817073','utami','2011-04-04','L'),
('331081','rizky','2011-08-26','L'),
('133153','hendra','2015-08-18','L'),
('676504','bayu','2011-05-03','P'),
('768630','wawan','2006-04-20','P'),
('260145','mira','2013-02-04','L'),
('404278','dewi','2013-12-04','P'),
('461459','wawan','2005-12-05','P'),
('103481','sinta','2010-12-09','P'),
('715011','zahra','2015-03-06','L'),
('796044','tono','2015-04-06','L'),
('606094','agus','2009-02-08','L'),
('310208','indah','2013-10-03','L'),
('536478','nanda','2009-10-06','L'),
('325459','kartika','2013-01-19','P'),
('268782','mira','2010-08-14','L'),
('893440','fajar','2014-04-05','L'),
('697391','rizky','2014-11-23','P'),
('668448','budi','2015-04-30','L'),
('437756','fajar','2007-04-20','L'),
('834760','kartika','2011-03-16','P'),
('508837','utami','2008-11-15','L'),
('388185','lutfi','2007-01-10','P'),
('549252','nanda','2014-10-17','P'),
('146183','rizky','2008-06-01','L'),
('069724','kartika','2014-04-23','L'),
('314601','agus','2010-09-29','P'),
('990573','sinta','2013-04-16','L'),
('476273','lia','2006-07-22','P'),
('253122','zahra','2009-03-29','L'),
('421848','budi','2014-08-25','P'),
('205080','vina','2015-07-25','L'),
('663123','utami','2009-06-03','P'),
('626636','citra','2014-06-23','P'),
('274015','fajar','2012-04-15','P'),
('684153','ayu','2009-12-09','P'),
('286027','joko','2014-11-27','L'),
('293773','lutfi','2007-04-26','P'),
('454388','hendra','2006-01-27','L'),
('870986','nanda','2005-07-02','P'),
('003695','joko','2007-09-03','P'),
('229859','sari','2010-03-15','L'),
('230725','indah','2005-11-14','L'),
('712885','eka','2006-02-20','L'),
('502095','indah','2015-10-21','P'),
('231139','tono','2006-08-11','L'),
('690194','citra','2010-10-23','L'),
('505748','eka','2013-01-24','P'),
('582285','bayu','2008-02-04','L'),
('694844','ayu','2012-07-07','L'),
('265152','bayu','2009-12-25','P'),
('592409','dewi','2006-01-17','P'),
('254650','lutfi','2009-03-14','L'),
('900317','rizky','2009-11-26','P'),
('596064','sari','2013-11-29','P'),
('971841','rizky','2010-08-28','L'),
('510139','hendra','2012-12-12','P'),
('783665','budi','2014-11-16','P'),
('373396','bayu','2009-09-26','P'),
('950853','rizky','2012-09-15','L'),
('270789','budi','2012-05-10','P'),
('766781','rudi','2012-05-07','L'),
('917055','eka','2010-10-10','L'),
('421518','putri','2011-01-18','P'),
('129430','ayu','2005-06-08','L'),
('641732','hendra','2008-02-07','L'),
('818217','zahra','2011-11-20','P'),
('634453','agus','2006-02-13','L'),
('006185','dewi','2012-07-13','L'),
('615255','bayu','2012-08-21','L'),
('521572','sari','2007-07-03','P'),
('639085','rina','2006-03-11','P'),
('179706','budi','2005-08-08','L'),
('171925','sinta','2014-07-07','P'),
('217922','fajar','2011-10-20','P'),
('850193','zahra','2011-12-30','P'),
('106222','tono','2005-02-02','P'),
('478795','rina','2013-03-17','L'),
('051622','citra','2014-12-15','P'),
('573404','utami','2011-01-28','P'),
('822298','wawan','2010-10-05','P'),
('108060','rudi','2012-10-14','P'),
('987222','vina','2012-11-02','L'),
('864687','agus','2007-04-19','L'),
('079637','rizky','2007-04-24','L'),
('214225','ayu','2009-03-21','L'),
('116518','lutfi','2010-10-12','P'),
('081833','lutfi','2006-08-15','L'),
('944292','kartika','2010-12-23','P'),
('369580','joko','2010-06-20','L'),
('867215','farah','2007-11-22','P'),
('588667','dewi','2010-04-28','P'),
('014649','agus','2007-04-27','L'),
('253741','zahra','2008-04-30','L'),
('199535','ayu','2007-11-29','L'),
('616253','rizky','2015-03-20','L'),
('924107','ayu','2008-05-30','L'),
('379839','rina','2006-02-26','P'),
('197172','citra','2011-09-15','L'),
('452008','joko','2008-11-07','L'),
('037519','citra','2011-06-17','P'),
('360585','indah','2005-01-16','L'),
('444371','vina','2011-11-02','P'),
('121872','lia','2011-03-16','P'),
('200539','mira','2014-09-21','L'),
('322539','farah','2012-10-07','P'),
('916694','farah','2010-04-07','L'),
('758276','ayu','2010-05-22','P'),
('711681','sari','2015-06-04','L'),
('638058','rudi','2013-04-15','L'),
('157034','farah','2006-08-08','L'),
('290358','wawan','2012-11-16','P'),
('818408','agus','2006-09-14','P'),
('964455','ayu','2010-09-30','P'),
('413557','citra','2013-08-04','L'),
('561874','kartika','2008-11-01','P'),
('933918','sari','2006-06-22','P'),
('607243','tono','2008-09-06','L'),
('910964','lia','2011-12-19','L'),
('055114','agus','2006-11-09','L'),
('691307','nanda','2015-03-06','L'),
('538080','bayu','2011-12-30','P'),
('938473','utami','2013-02-08','P'),
('695015','mira','2014-06-28','P'),
('768022','eka','2014-11-07','P'),
('162296','lia','2006-08-05','P'),
('369103','bayu','2014-07-17','L'),
('313367','fajar','2014-05-13','L'),
('143017','eka','2011-12-31','L'),
('485244','vina','2015-10-12','P'),
('812240','utami','2015-09-26','L'),
('087798','lia','2012-04-09','L'),
('286384','rudi','2010-06-19','L'),
('556375','bayu','2008-06-15','P'),
('000314','zahra','2007-02-26','P'),
('257491','wawan','2007-10-31','L'),
('787501','citra','2005-03-25','P'),
('214212','yoga','2006-08-21','L'),
('633727','rina','2012-05-28','P'),
('196404','gita','2010-05-27','P'),
('100212','zahra','2013-12-31','L'),
('897254','nanda','2013-11-05','L'),
('766872','farah','2014-02-23','P'),
('003170','zahra','2013-05-22','P'),
('962378','wawan','2005-07-07','L'),
('708219','vina','2015-01-30','L'),
('438209','dewi','2007-05-25','L'),
('616290','rizky','2005-05-30','L'),
('215320','wawan','2014-09-14','P'),
('815860','lia','2007-05-07','P'),
('078170','rina','2009-11-26','P'),
('268892','indah','2013-06-10','P'),
('702937','wawan','2013-10-26','L'),
('918664','yoga','2010-10-26','P'),
('580851','nanda','2011-01-01','P'),
('210481','gita','2009-11-14','P'),
('538500','hendra','2005-03-07','P'),
('104024','lia','2015-08-23','P'),
('795709','lia','2010-07-27','L'),
('584727','rudi','2012-03-22','L'),
('570687','sari','2006-10-25','P'),
('581691','lutfi','2011-11-02','P'),
('110965','sari','2007-06-24','P'),
('190894','tono','2007-05-30','L'),
('416573','lutfi','2008-11-03','P'),
('001087','utami','2008-01-19','L'),
('797606','lutfi','2013-01-09','P'),
('167986','gita','2010-10-06','L'),
('143506','nanda','2008-12-26','P'),
('127137','ayu','2005-11-27','L'),
('924213','nanda','2010-05-17','L'),
('149424','indah','2015-04-24','L'),
('987172','vina','2005-04-04','P'),
('136990','nanda','2005-11-10','L'),
('640338','vina','2005-11-20','P'),
('353693','sinta','2009-01-15','P'),
('172683','fajar','2007-08-22','P'),
('203093','wawan','2015-10-25','L'),
('998350','rudi','2015-02-12','P'),
('487077','bayu','2007-12-22','P'),
('204172','rudi','2011-07-19','P'),
('067399','mira','2009-09-04','P'),
('150269','wawan','2012-11-19','P'),
('588779','yoga','2015-02-13','P'),
('823579','ayu','2007-06-10','P'),
('213001','wawan','2011-11-20','P'),
('385794','rizky','2010-02-17','P'),
('614172','dewi','2013-07-15','L'),
('392103','tono','2013-06-03','L'),
('147717','farah','2010-04-26','L'),
('123506','utami','2014-08-05','P'),
('519403','wawan','2014-11-05','P'),
('754442','sinta','2011-01-07','P'),
('914704','nanda','2012-08-16','P'),
('146580','lia','2011-02-16','P'),
('833142','gita','2007-12-28','P'),
('876774','dewi','2006-12-24','L'),
('919342','zahra','2015-12-11','L'),
('879232','nanda','2007-02-22','L'),
('631979','bayu','2007-07-31','L'),
('967511','bayu','2006-08-21','P'),
('185984','indah','2005-03-19','P'),
('485346','hendra','2007-11-28','P'),
('919108','sinta','2015-03-06','L'),
('073453','dewi','2014-02-12','P'),
('220540','bayu','2012-01-18','L'),
('551407','fajar','2010-12-29','P'),
('546566','farah','2012-04-08','L'),
('129213','rudi','2009-11-04','L'),
('443160','lutfi','2005-05-14','P'),
('593043','sinta','2007-12-07','L'),
('829091','joko','2015-05-24','L'),
('614345','budi','2008-03-05','P'),
('974039','bayu','2010-08-14','L'),
('941607','nanda','2015-01-21','P'),
('157880','utami','2007-04-26','P'),
('254180','sinta','2007-09-08','P'),
('212864','joko','2011-12-16','P'),
('655111','putri','2010-03-21','P'),
('042824','hendra','2010-01-21','L'),
('454009','fajar','2008-02-27','P'),
('334668','farah','2013-10-04','P'),
('118578','citra','2011-03-19','P'),
('033268','indah','2006-11-10','P'),
('117042','sinta','2011-01-05','L'),
('209273','joko','2009-06-18','P'),
('441811','vina','2011-04-24','L'),
('362465','tono','2010-04-10','L'),
('901159','yoga','2006-07-10','L'),
('148527','vina','2006-08-28','L'),
('234629','zahra','2014-09-13','P'),
('436483','yoga','2005-05-03','L'),
('915447','fajar','2007-07-23','L'),
('258952','wawan','2006-10-13','L'),
('548495','hendra','2015-04-05','P'),
('985931','sari','2012-02-04','P'),
('581957','zahra','2007-07-05','P'),
('676665','mira','2010-11-10','P'),
('888801','lia','2015-10-25','L'),
('253478','fajar','2006-10-20','L'),
('539346','budi','2014-12-11','L'),
('022911','zahra','2014-03-16','L'),
('059532','eka','2013-02-19','L'),
('456588','joko','2015-06-22','P'),
('063168','ayu','2009-02-08','P'),
('035622','dewi','2009-02-28','L'),
('778164','mira','2009-02-21','P'),
('456919','tono','2005-10-24','L'),
('677962','lia','2006-06-06','P'),
('161087','citra','2006-09-01','L'),
('113924','citra','2013-10-09','P'),
('916942','citra','2011-11-13','P'),
('691367','rina','2005-04-07','L'),
('946286','dewi','2013-03-20','L'),
('153492','rizky','2013-11-24','P'),
('061628','nanda','2009-07-09','L'),
('933235','nanda','2005-09-30','L'),
('050964','yoga','2009-07-18','L'),
('796111','lutfi','2005-07-19','P'),
('746801','joko','2008-07-29','P'),
('239073','fajar','2008-09-13','P'),
('759124','ayu','2007-09-02','P'),
('678792','rudi','2014-04-26','L'),
('345452','mira','2005-11-24','L'),
('811938','vina','2007-11-20','P'),
('818602','bayu','2010-04-28','L'),
('611038','agus','2010-04-17','L'),
('265564','yoga','2010-11-28','P'),
('438352','yoga','2006-03-07','P'),
('699961','dewi','2009-08-19','P'),
('161842','tono','2005-02-15','P'),
('241819','budi','2008-01-23','L'),
('649577','yoga','2006-06-16','P'),
('672923','joko','2010-05-02','L'),
('384029','citra','2013-09-04','P'),
('809646','agus','2010-01-15','L'),
('662446','dewi','2008-05-26','L'),
('489820','kartika','2013-12-01','P'),
('028715','utami','2008-10-24','L'),
('578815','rizky','2006-10-05','L'),
('137370','rina','2014-11-19','P'),
('801659','ayu','2009-07-09','L'),
('255805','bayu','2015-10-03','L'),
('421823','fajar','2015-03-23','P'),
('902337','zahra','2015-09-25','L'),
('413682','citra','2011-11-18','P'),
('417740','bayu','2012-07-15','L'),
('315983','eka','2013-07-16','P'),
('356750','indah','2006-08-23','P'),
('564194','indah','2007-03-25','P'),
('256592','fajar','2015-06-03','L'),
('657221','dewi','2007-09-11','L'),
('954962','budi','2010-11-24','L'),
('722427','wawan','2007-01-09','P'),
('465815','nanda','2013-01-02','P'),
('893034','budi','2011-07-16','P'),
('791994','zahra','2006-03-10','P'),
('299244','gita','2008-02-10','L'),
('528108','vina','2013-09-03','P'),
('735459','dewi','2009-07-25','P'),
('293928','bayu','2012-12-14','L'),
('401904','yoga','2012-07-31','L'),
('739654','budi','2010-11-15','L'),
('777426','rina','2012-03-08','L'),
('342992','farah','2010-12-27','P'),
('747959','rina','2011-12-15','P'),
('769812','lia','2007-12-03','P'),
('751972','farah','2011-11-16','L'),
('589977','tono','2012-11-13','L'),
('874270','budi','2005-07-15','P'),
('246912','agus','2013-10-14','P'),
('943097','zahra','2005-02-04','P'),
('792897','rizky','2012-08-02','L'),
('687448','vina','2005-06-02','P'),
('015226','yoga','2005-06-18','L'),
('767065','hendra','2012-07-18','P'),
('173848','wawan','2005-03-01','L'),
('618244','fajar','2007-02-16','P'),
('289555','budi','2012-05-30','P'),
('810809','eka','2015-12-05','P'),
('797016','eka','2007-03-10','L'),
('694599','indah','2012-01-15','L'),
('869375','yoga','2012-11-12','P'),
('832559','joko','2006-05-24','L'),
('822940','ayu','2008-09-24','L'),
('938269','hendra','2006-04-08','P'),
('845978','gita','2012-07-05','L'),
('038140','kartika','2012-01-22','P'),
('801574','budi','2005-03-01','L'),
('438786','joko','2007-08-21','L'),
('870914','eka','2012-05-26','P'),
('120939','citra','2015-04-05','P'),
('097018','putri','2014-01-12','P'),
('684535','gita','2010-11-08','L'),
('820599','sari','2005-12-16','L'),
('712127','sinta','2009-02-12','L'),
('568260','wawan','2006-10-06','L'),
('739007','yoga','2009-10-05','L'),
('228421','rudi','2007-07-22','P'),
('850744','mira','2005-08-07','L'),
('601560','putri','2012-12-18','L'),
('186858','mira','2005-05-19','L'),
('010379','rina','2008-10-13','P'),
('105669','agus','2011-02-13','L'),
('142016','eka','2008-08-18','L'),
('138112','gita','2008-10-05','L'),
('140707','tono','2005-10-09','P'),
('831167','kartika','2007-11-06','L'),
('423646','wawan','2010-11-15','P'),
('962899','eka','2009-02-16','P'),
('415081','utami','2007-01-15','P'),
('651019','putri','2013-04-19','L'),
('630681','kartika','2005-09-27','P'),
('525091','gita','2010-04-08','P'),
('917645','bayu','2015-09-19','L'),
('838102','dewi','2013-04-16','L'),
('496515','sinta','2013-08-13','P'),
('789661','tono','2013-11-05','L'),
('563387','putri','2009-04-05','P'),
('427282','rudi','2015-08-04','L'),
('644104','utami','2015-07-24','P'),
('679616','rina','2006-09-29','L'),
('416595','mira','2015-05-24','P'),
('415431','lia','2006-06-09','P'),
('785373','gita','2010-12-22','L'),
('713178','sari','2006-08-24','L'),
('576788','lia','2011-02-09','P'),
('148534','indah','2006-12-14','P'),
('884917','tono','2010-04-20','L'),
('198410','bayu','2007-04-11','L'),
('079961','indah','2011-04-19','L'),
('185733','lia','2009-04-16','P'),
('732411','yoga','2014-09-06','L'),
('276433','kartika','2008-06-25','P'),
('477046','lia','2013-10-13','L'),
('095220','budi','2015-11-29','L'),
('122796','budi','2005-05-17','P'),
('093367','kartika','2005-07-30','P'),
('349617','eka','2012-07-19','L'),
('443867','lutfi','2005-11-10','L'),
('097925','yoga','2011-04-19','L'),
('072215','rudi','2009-09-24','L'),
('579789','hendra','2008-05-06','L'),
('547863','indah','2008-02-16','P'),
('529565','citra','2007-12-25','P'),
('768822','rudi','2007-11-10','L'),
('054493','putri','2007-09-19','L'),
('419864','fajar','2013-05-03','P'),
('461949','joko','2015-01-05','L'),
('262337','indah','2015-11-05','P'),
('408047','sari','2014-11-14','L'),
('748984','tono','2005-03-29','L'),
('989087','wawan','2009-08-20','L'),
('855184','rudi','2006-12-23','P'),
('082338','mira','2013-05-25','P'),
('571869','rina','2005-07-07','L'),
('330370','joko','2006-12-05','L'),
('901547','rizky','2005-01-05','L'),
('559794','fajar','2012-05-22','L'),
('929029','zahra','2008-11-08','L'),
('838968','zahra','2013-08-16','P'),
('906184','hendra','2007-03-08','P'),
('105236','budi','2015-12-18','P'),
('158982','farah','2014-01-24','P'),
('053573','rizky','2010-01-21','P'),
('117287','lutfi','2006-08-17','L'),
('491925','dewi','2011-06-04','P'),
('885944','dewi','2006-05-01','P'),
('598639','fajar','2008-12-14','P'),
('519661','fajar','2011-07-10','P'),
('602021','lutfi','2006-09-04','P'),
('925573','rina','2009-12-04','L'),
('320953','mira','2007-08-25','L'),
('061139','wawan','2007-09-10','L'),
('919993','wawan','2006-04-12','P'),
('079210','indah','2012-09-18','P'),
('638578','citra','2008-07-21','L'),
('707995','vina','2005-03-01','P'),
('006819','kartika','2005-03-07','P'),
('434011','rudi','2013-11-29','L'),
('441844','joko','2006-03-09','L'),
('751710','gita','2009-02-03','P'),
('386775','yoga','2008-03-29','L'),
('842543','wawan','2006-11-13','L'),
('112874','sinta','2006-07-29','L'),
('907324','vina','2006-03-27','P'),
('101166','agus','2012-02-07','L'),
('956115','agus','2005-02-11','P'),
('102891','bayu','2012-09-23','L'),
('146628','dewi','2009-07-13','L'),
('388311','putri','2006-11-27','L'),
('557521','sinta','2008-08-20','P'),
('075475','putri','2014-01-20','L'),
('470889','lutfi','2015-05-08','L'),
('154702','ayu','2012-05-17','L'),
('442621','rina','2007-12-27','P'),
('960126','hendra','2014-11-14','L'),
('079556','vina','2010-08-07','L'),
('682978','ayu','2015-12-19','P'),
('886412','citra','2014-08-06','L'),
('712071','utami','2014-10-09','L'),
('531286','bayu','2008-05-14','P'),
('487576','budi','2006-12-26','P'),
('135710','hendra','2012-08-10','L'),
('320810','ayu','2013-05-04','P'),
('302805','rina','2013-04-08','P'),
('515833','nanda','2006-07-19','L'),
('644349','mira','2011-01-05','P'),
('833330','utami','2007-05-21','P'),
('063699','agus','2009-02-12','P'),
('773623','sinta','2011-09-01','L'),
('283582','wawan','2013-10-16','L'),
('334885','farah','2009-10-01','P'),
('984518','indah','2006-06-23','P'),
('433952','sari','2009-03-03','L'),
('178713','zahra','2008-09-13','L'),
('013903','lutfi','2005-03-23','L'),
('535328','fajar','2010-10-17','P'),
('831379','citra','2009-10-05','P'),
('637195','vina','2013-05-18','P'),
('546458','sinta','2005-08-06','L'),
('054219','gita','2011-02-25','L'),
('589113','kartika','2012-07-30','P'),
('441191','gita','2008-11-29','P'),
('176322','utami','2008-09-11','L'),
('074638','eka','2008-07-21','L'),
('485131','zahra','2009-02-13','P'),
('340467','yoga','2005-07-09','P'),
('089169','vina','2012-09-08','L'),
('900540','ayu','2005-07-25','L'),
('189297','eka','2010-03-04','L'),
('528022','putri','2014-06-21','P'),
('934102','joko','2005-12-13','P'),
('044654','tono','2015-03-11','L'),
('701832','gita','2010-01-10','L'),
('370358','fajar','2005-08-13','P'),
('718374','sinta','2012-03-26','L'),
('737488','lia','2014-05-08','L'),
('285105','rudi','2009-06-23','P'),
('972457','hendra','2015-11-11','L'),
('345665','fajar','2008-02-20','L'),
('421328','rina','2015-08-02','L'),
('468297','ayu','2005-12-07','P'),
('137123','utami','2005-09-22','L'),
('613492','rudi','2013-08-30','P'),
('169816','utami','2009-02-12','P'),
('448772','lutfi','2013-09-17','L'),
('500733','ayu','2006-11-05','L'),
('218022','mira','2014-06-09','P'),
('268552','fajar','2015-11-18','P'),
('060941','fajar','2013-06-02','L'),
('969965','hendra','2006-02-22','L'),
('974025','putri','2015-10-27','P'),
('753973','budi','2008-08-02','P'),
('347170','lia','2005-02-25','L'),
('434239','agus','2012-05-27','L'),
('675027','rizky','2013-08-08','L'),
('496526','dewi','2012-05-21','P'),
('442688','wawan','2011-08-22','P'),
('517290','ayu','2010-09-01','P'),
('610173','joko','2014-01-25','P'),
('389133','dewi','2009-01-16','P'),
('508089','zahra','2006-01-31','P'),
('748565','budi','2013-08-05','P'),
('595671','hendra','2010-12-23','P'),
('324186','sinta','2011-10-27','P'),
('613787','sari','2014-07-06','P'),
('739187','lia','2015-07-20','P'),
('381876','rina','2007-08-07','P'),
('919102','eka','2011-04-25','L'),
('523789','eka','2006-07-03','P'),
('267031','farah','2015-07-18','L'),
('089020','budi','2011-09-13','L'),
('662699','hendra','2014-07-30','L'),
('845792','rudi','2006-12-03','P'),
('815873','rudi','2007-08-30','L'),
('022597','zahra','2009-12-19','L'),
('511389','sinta','2009-04-22','P'),
('244848','hendra','2006-08-31','P'),
('690901','sari','2012-02-06','L'),
('495672','vina','2010-10-11','P'),
('580739','putri','2015-11-18','L'),
('232726','farah','2014-05-15','P'),
('499989','joko','2010-02-16','P'),
('380474','lia','2012-10-10','L'),
('107009','ayu','2013-05-16','L'),
('123964','joko','2014-02-09','L'),
('224854','agus','2008-07-15','L'),
('870118','vina','2012-01-10','P'),
('357643','zahra','2011-03-08','L'),
('166706','rina','2012-01-22','P'),
('551505','rina','2008-12-08','L'),
('005357','gita','2014-05-17','L'),
('856299','budi','2015-08-09','P'),
('547197','sinta','2011-12-13','L'),
('207386','budi','2008-10-12','L'),
('348755','budi','2015-03-04','P'),
('082500','lutfi','2010-04-27','P'),
('783796','farah','2009-05-23','L'),
('435603','gita','2013-11-02','L'),
('402415','rizky','2005-11-21','P'),
('619059','sinta','2008-11-23','P'),
('039752','zahra','2009-05-01','P'),
('083109','farah','2009-12-27','L'),
('605057','dewi','2011-10-26','P'),
('495938','zahra','2014-08-31','L'),
('742379','eka','2012-07-17','L'),
('399382','lia','2014-05-30','P'),
('612274','lutfi','2012-09-16','L'),
('435358','tono','2011-12-04','P'),
('208543','hendra','2010-06-11','L'),
('504833','dewi','2013-08-04','P'),
('282975','sinta','2013-05-19','L'),
('733116','agus','2006-12-27','P'),
('443634','vina','2013-02-27','L'),
('252487','budi','2005-06-16','P'),
('401263','fajar','2012-01-17','P'),
('130992','vina','2009-02-23','L'),
('485960','mira','2011-09-05','L'),
('743164','indah','2012-08-06','P'),
('117334','indah','2007-05-29','P'),
('852770','agus','2013-02-27','P'),
('555380','tono','2015-11-20','L'),
('595152','budi','2005-07-09','L'),
('415929','joko','2005-04-15','L'),
('359954','utami','2005-11-02','P'),
('153721','fajar','2007-04-19','P'),
('059078','eka','2011-11-15','L'),
('411005','lutfi','2008-05-26','L'),
('666193','fajar','2008-12-31','L'),
('865487','farah','2012-09-12','P'),
('718862','vina','2015-03-20','L'),
('925116','nanda','2010-10-27','L'),
('501297','zahra','2010-02-01','P'),
('405309','indah','2014-05-22','P'),
('725004','indah','2015-09-30','P'),
('076780','hendra','2013-03-19','L'),
('246499','rina','2006-07-28','P'),
('245724','mira','2013-05-02','L'),
('462246','agus','2009-02-15','P'),
('182231','agus','2010-07-07','P'),
('829509','vina','2008-07-20','L'),
('701732','rizky','2005-12-28','L'),
('206371','citra','2009-02-21','L'),
('242283','nanda','2013-12-16','L'),
('868567','wawan','2014-10-27','L'),
('143760','yoga','2014-07-29','L'),
('888440','citra','2005-07-23','L'),
('749087','nanda','2005-11-19','L'),
('004217','mira','2013-10-11','P'),
('280242','lutfi','2012-12-26','P'),
('078756','zahra','2007-10-01','L'),
('646218','joko','2015-10-23','P'),
('232162','farah','2008-06-17','P'),
('236752','rina','2009-03-25','L'),
('497067','agus','2011-09-01','L'),
('720157','dewi','2009-05-17','L'),
('678742','rudi','2012-11-26','P'),
('598379','fajar','2009-11-21','P'),
('870599','utami','2012-09-22','P'),
('395527','gita','2013-08-12','L'),
('187962','sinta','2013-12-06','L'),
('173472','agus','2012-07-03','P'),
('138829','utami','2005-03-20','P'),
('075955','vina','2008-07-22','L'),
('180597','tono','2015-04-22','L'),
('494266','sari','2007-07-13','L'),
('878383','farah','2011-09-18','L'),
('724570','yoga','2007-03-15','L'),
('425213','rizky','2008-04-21','P'),
('140484','tono','2010-03-26','L'),
('829689','wawan','2012-10-17','L'),
('266069','bayu','2008-12-15','L'),
('138133','kartika','2011-01-13','L'),
('728428','gita','2008-10-06','P'),
('229230','rizky','2006-12-24','L'),
('916877','vina','2005-11-13','P'),
('787910','joko','2006-11-18','P'),
('831105','lutfi','2011-02-02','P'),
('664805','fajar','2015-12-23','P'),
('773336','bayu','2012-04-06','L'),
('209516','lutfi','2009-02-24','P'),
('985844','farah','2014-09-03','L'),
('275108','bayu','2008-06-10','P'),
('700113','ayu','2011-02-11','P'),
('011350','yoga','2011-10-09','P'),
('955539','rina','2012-05-04','L'),
('269382','farah','2012-03-11','P'),
('028719','dewi','2013-04-08','P'),
('171644','ayu','2014-03-08','P'),
('625239','indah','2015-05-22','P'),
('881450','sari','2011-12-23','L'),
('062399','agus','2005-06-19','P'),
('488889','budi','2010-03-06','L'),
('447746','dewi','2008-04-06','L'),
('429215','sinta','2011-09-28','L'),
('957941','vina','2009-01-03','P'),
('424340','eka','2013-08-28','P'),
('499778','citra','2012-09-27','L'),
('819917','agus','2015-12-25','L'),
('383622','yoga','2006-05-31','L'),
('692428','sinta','2008-07-01','P'),
('239356','rizky','2009-10-09','L'),
('870292','nanda','2014-04-26','L'),
('237694','rizky','2013-02-18','P'),
('767418','bayu','2009-03-04','L'),
('906514','zahra','2013-05-28','P'),
('728164','indah','2015-04-05','L'),
('634484','vina','2007-09-07','L'),
('742348','dewi','2015-10-13','L'),
('517497','indah','2013-10-19','L'),
('132367','hendra','2011-11-05','L'),
('290096','putri','2014-10-12','P'),
('852323','hendra','2011-04-13','P'),
('851704','eka','2006-12-28','L'),
('753778','utami','2011-08-12','L'),
('330622','gita','2005-11-25','P'),
('305528','gita','2006-05-08','L'),
('458504','eka','2007-01-30','P'),
('322527','mira','2006-10-12','L'),
('257416','dewi','2010-08-26','L'),
('843181','citra','2005-10-24','P'),
('742707','agus','2012-11-05','P'),
('301175','dewi','2012-11-18','L'),
('261022','tono','2005-08-28','P'),
('995733','sari','2015-07-12','L'),
('030214','rina','2009-11-01','P'),
('311876','lutfi','2008-10-03','L'),
('960330','bayu','2012-05-29','L'),
('778657','rizky','2005-03-18','P'),
('398907','joko','2012-10-03','P'),
('078171','kartika','2014-01-06','L'),
('839977','wawan','2009-02-26','L'),
('948866','sinta','2013-08-21','L'),
('579329','tono','2008-05-24','P'),
('596954','dewi','2008-06-02','P'),
('431057','zahra','2006-08-20','L'),
('964839','dewi','2011-10-30','L'),
('247279','farah','2009-10-08','P'),
('943844','kartika','2012-07-31','P'),
('718588','budi','2005-07-03','P'),
('198951','kartika','2011-10-19','L'),
('576388','hendra','2010-01-01','P'),
('781138','mira','2014-09-11','P'),
('013729','gita','2005-02-23','L'),
('219220','mira','2008-05-09','P'),
('056468','vina','2005-12-12','P'),
('965078','gita','2013-11-19','P'),
('509211','farah','2015-12-18','L'),
('471683','bayu','2005-09-19','L'),
('199515','indah','2009-09-14','P'),
('520830','utami','2012-04-01','P'),
('383489','lia','2015-05-08','L'),
('651024','bayu','2008-12-04','L'),
('211493','vina','2010-09-29','P'),
('810536','tono','2011-03-17','L'),
('346984','vina','2005-06-16','P'),
('428340','sari','2007-06-21','L'),
('116381','joko','2006-06-07','P'),
('697042','yoga','2007-07-07','P'),
('607264','zahra','2011-01-28','P'),
('911268','budi','2008-08-09','P'),
('244944','gita','2012-04-14','P'),
('241249','putri','2009-05-28','L'),
('876912','agus','2009-08-31','L'),
('076864','rudi','2007-11-23','L'),
('999128','dewi','2008-01-19','P'),
('694526','indah','2005-11-17','P'),
('290667','bayu','2012-01-13','P'),
('701785','rudi','2013-08-28','P'),
('088669','lia','2005-07-21','L'),
('148594','indah','2009-11-19','P'),
('253980','hendra','2011-02-18','P'),
('216794','fajar','2015-11-15','L'),
('889265','rizky','2006-06-01','P'),
('114789','farah','2005-05-17','P'),
('425620','indah','2015-03-28','P'),
('797101','kartika','2008-05-21','L'),
('704263','zahra','2010-01-16','L'),
('448062','dewi','2008-01-07','L'),
('441368','lia','2014-09-01','P'),
('816261','lutfi','2010-02-05','P'),
('778627','eka','2012-06-09','P'),
('239531','budi','2015-08-01','L'),
('556276','lutfi','2008-09-29','P'),
('955179','ayu','2008-10-01','L'),
('822510','nanda','2007-02-05','L'),
('218231','citra','2010-01-08','P'),
('068574','vina','2015-04-20','L'),
('925688','hendra','2014-11-20','L'),
('417683','hendra','2005-09-26','P'),
('860024','wawan','2012-05-25','L'),
('287411','nanda','2011-11-15','L'),
('641033','joko','2009-11-17','L'),
('183450','rina','2007-07-25','P'),
('545997','lia','2011-02-14','L'),
('106391','wawan','2008-02-01','P'),
('837301','farah','2007-06-17','L'),
('494243','mira','2009-04-13','L'),
('965170','budi','2009-03-27','P'),
('857620','utami','2014-09-18','L'),
('925855','ayu','2007-02-13','P'),
('178066','citra','2007-05-20','P'),
('376836','rudi','2013-04-20','L'),
('524025','nanda','2015-03-29','L'),
('903024','eka','2011-12-21','P'),
('504195','rudi','2010-09-02','L'),
